Date,Close,High,Low,Open,Volume,log_return,volatility_21d,volatility_annualized
2021-11-02,7274.7998046875,7288.60009765625,7240.0,7288.60009765625,788360700,-0.001895202657612733,0.005626386409706544,0.0893161153202225
2021-11-03,7248.89990234375,7277.60009765625,7235.2998046875,7274.7998046875,729024900,-0.003566574677398975,0.005455992713187106,0.08661119924444184
2021-11-04,7279.89990234375,7293.0,7247.60009765625,7248.89990234375,988387200,0.004267392690501253,0.004649669471551231,0.07381121460224203
2021-11-05,7304.0,7331.2998046875,7270.0,7279.89990234375,829628100,0.0033050308566567477,0.004096038828035015,0.06502260059667067
2021-11-08,7300.39990234375,7316.5,7293.5,7304.0,617444100,-0.0004930154957744474,0.004111654121772629,0.06527048569994437
2021-11-09,7274.0,7314.10009765625,7268.7998046875,7300.39990234375,780375900,-0.0036227812320955752,0.004019337350677286,0.06380500239099185
2021-11-10,7340.2001953125,7340.2001953125,7270.10009765625,7274.0,908302100,0.009059770255418468,0.004326565806525374,0.06868210293013043
2021-11-11,7384.2001953125,7394.39990234375,7329.7001953125,7340.2001953125,672658500,0.005976492054048438,0.004441452603472866,0.07050587429201745
2021-11-12,7347.89990234375,7402.7001953125,7340.5,7384.2001953125,766415500,-0.004928064049697801,0.0043001643425051245,0.06826299268185682
2021-11-15,7351.89990234375,7363.5,7324.10009765625,7347.89990234375,604752800,0.0005442251121611968,0.004254913027592401,0.06754465032731041
2021-11-16,7327.0,7368.2998046875,7324.10009765625,7351.89990234375,849713500,-0.003392614758900721,0.004212163361862623,0.06686602042239762
2021-11-17,7291.2001953125,7327.0,7290.0,7327.0,980280900,-0.004897986862917483,0.004381808142719639,0.0695590478306039
2021-11-18,7256.0,7291.2998046875,7242.0,7291.2001953125,590225200,-0.004839455502073896,0.004531860731045589,0.07194105882435602
2021-11-19,7223.60009765625,7289.5,7198.7998046875,7256.0,1174484200,-0.004475255697728823,0.004527885658780065,0.07187795650840749
2021-11-22,7255.5,7272.60009765625,7207.7998046875,7223.60009765625,638191500,0.004406344833903852,0.004605213237047087,0.07310549375789603
2021-11-23,7266.7001953125,7293.10009765625,7204.39990234375,7255.5,624614500,0.001542493201108791,0.004586858653885997,0.07281412378312103
2021-11-24,7286.2998046875,7307.89990234375,7246.0,7266.7001953125,661514300,0.0026935506390362977,0.004316193203740095,0.0685174429656206
2021-11-25,7310.39990234375,7311.89990234375,7286.2998046875,7286.2998046875,487924100,0.003302132679177337,0.0042979522746118114,0.06822787719268344
2021-11-26,7044.0,7310.39990234375,7042.10009765625,7310.39990234375,1714871800,-0.037121787834373005,0.00924865139054074,0.14681778925261507
